ku_code;name
601101;Bašnice
601462;Běchary
601829;Bělá u Pecky
601837;Dolní Javoří
601845;Horní Javoří
601853;Radkyně
601861;Uhlíře
603813;Bezník
605930;Boháňka
605948;Chloumek u Hořic
605964;Votuz
607568;Borek u Miletína
607576;Želejov
609790;Brdo
609803;Krsmol
614793;Březovice
615064;Bříšťany
615072;Petrovičky u Hořic
615188;Budčeves
615196;Nečas
616109;Bukovina u Pecky
616907;Bystřice
616915;Važice
617474;Cerekvice nad Bystřicí
617709;Cidlina
617725;Zámezí
620726;Červená Třemešná
623466;Češov
623474;Liběšice
625914;Brodek
625922;Dětenice
625931;Osenice
627071;Dolní Dobrá Voda
627089;Horní Dobrá Voda
627101;Bílsko u Hořic
628891;Dolní Černůtky
629596;Dolní Lochov
630985;Domoslavice
630993;Sylvárův Újezd
631159;Doubrava
631809;Drahoraz
631817;Keteň
631825;Pševes
638871;Březina u Jičína
638889;Hlásná Lhota u Jičína
641243;Holín
641251;Horní Lochov
641260;Ohaveč
641278;Pařezská Lhota
641286;Prachov
641332;Holovousy v Podkrkonoší
645168;Hořice v Podkrkonoší
645214;Libonice
645222;Chvalina
649180;Hřmenín
651567;Chlum u Hořic
652334;Cholenice
652423;Chomutice
652431;Chomutičky
652440;Obora u Chomutic
654256;Chroustov u Miletína
655422;Dolany u Chyjic
655431;Chyjice
658511;Jeřice
659541;Jičín
659631;Bartoušov u Jičíněvsi
659649;Jičíněves
659657;Kostelec u Jičíněvsi
659665;Žitětín
661252;Jivany
662101;Kal
664634;Kdanice
667081;Kněžnice
668991;Kamenice u Konecchlumí
669008;Konecchlumí
669016;Kovač
669296;Kopidlno
678406;Kyje u Jičína
678813;Labouň
679283;Brtev
679291;Dolní Nová Ves
679305;Horní Nová Ves
679313;Hřídelec
679321;Lány u Lázní Bělohradu
679330;Lázně Bělohrad
679348;Prostřední Nová Ves
681679;Libáň
683281;Dobšice
683299;Libošovice
683311;Malechovice
683337;Nepřívěc
683353;Rytířova Lhota
683361;Vesec u Sobotky
683515;Březka
683523;Libuň
683531;Libunec
684902;Lískovice u Ostroměře
688819;Černín u Lukavce
688827;Dobeš
688835;Lukavec u Hořic
689238;Lužany u Jičína
691801;Markvartice u Sobotky
691836;Příchvoj
691844;Rakov u Markvartic
691852;Skuřina
694665;Miletín
694991;Bačalky
695009;Lično u Milkovic
695025;Záhuby
695033;Zelenecká Lhota
695203;Milovice u Hořic
696871;Hubojedy
696897;Mladějov v Čechách
697214;Choteč u Lázní Bělohradu
697249;Mlázovice
697257;Svatojanský Újezd
697265;Šárovcova Lhota
697371;Mlýnec u Kopidlna
703273;Nemyčeves
705128;Nová Paka
706736;Nové Smrkovice
713007;Osek u Sobotky
715727;Ostroměř
716260;Ostružno u Jičína
718688;Lhota u Pecky
718696;Pecka
718700;Staňkov u Pecky
721786;Plhov
723665;Podhorní Újezd
723673;Vojice
723738;Čejkovice u Jičína
723746;Podhradí u Jičína
723754;Staré Místo
723851;Podkost
724521;Brada
724530;Dílce
724556;Podůlší
724564;Jinolice
724572;Kbelnice u Jičína
725838;Popovice u Jičína
736449;Křešice u Psinic
736457;Psinice
737801;Dřevěnice
737810;Lháň
737828;Radim u Jičína
737836;Studeňany
737844;Tužín
739456;Rašín
740217;Moravčice
740225;Robousy
740501;Rohoznice u Hořic
740861;Dolní Rokytňany
740870;Horní Rokytňany
741451;Karlov u Roškopova
741469;Roškopov
741477;Ústí u Staré Paky
742023;Roveň u Sobotky
746070;Drštěkryje
746096;Ohařice
746100;Samšina
746118;Zámostí
746312;Hrobičany
746321;Sběř
746339;Velešice
749842;Milíčeves
749851;Slatiny
751499;Sobčice
751685;Soběraz
751693;Těšín
752070;Čálovice
752088;Lavice
752096;Sobotka
752100;Spyšova
752118;Staňkova Lhota
752126;Stéblovice
753823;Stará Paka
754374;Sedliště u Starých Hradů
754382;Staré Hrady
754765;Nevratice
754773;Staré Smrkovice
757420;Střeleč
757551;Nadslav
757560;Střevač
757713;Stříbrnice v Čechách
758329;Heřmanice u Nové Paky
758337;Kumburský Újezd
758345;Studénka u Nové Paky
759406;Sukorady u Hořic
763764;Štikov
766551;Tereziny Dary
766925;Tetín
766950;Vřesník u Tetína
770124;Ostrov v Podkrkonoší
770132;Třebnouševes
770141;Vinice v Podkrkonoší
770451;Třebovětice
771147;Třtěnice
771767;Butoves
771775;Hubálov
771783;Kacákova Lhota
771791;Tuř
772461;Česká Proseč
772496;Stav
772518;Úbislavice
772526;Zboží u Nové Paky
772658;Bílsko u Kopidlna
772666;Údrnice
772674;Údrnická Lhota
772682;Únětice
773158;Úhlejov
773867;Újezd pod Troskami
774154;Řeheč
774162;Úlibice
776530;Valdice
776548;Přibyslav u Nové Paky
776556;Pustá Proseč
776564;Valdov
778117;Bukvice
778133;Veliš u Jičína
778141;Vesec u Jičína
781720;Stupná
781738;Vidochov
781746;Vidonice
782912;Vitiněves
784664;Volanice
785954;Vrbice nad Cidlinou
786519;Vrchovina
786608;Vršce
788341;Veselská Lhota
788350;Vysoké Veselí
793281;Zliv u Libáně
796123;Železnice
796484;Hradíšťko
796492;Vlhošť
796506;Žeretice
796832;Židovice
797677;Kozojedy u Žlunic
797685;Sekeřice
797693;Slavhostice
797707;Žlunice
